LINE,ACCESSION,TREATMENT,DAY,PERIMETER,AREA,ROUNDNESS,COMPACTNESS, ECCENTRICITY,RMS,SOL
LN15,Te,Control,0,206.0723906,248.7168,0.073599585,0.357167803,0.186011296,0.552109292,19.65611651
LN13,Nd,Control,0,154.2018456,111.0912,0.05870977,0.299761683,0.285748637,0.582149338,26.01590045
LN14,Rsch,Control,0,161.6139898,192.4608,0.092596431,0.42460183,0.42214012,0.871543946,14.57315775
LN12,Ler,Control,0,91.20894571,107.9168,0.16301368,0.623225902,0.380190007,0.797437835,6.775234255
LN10,Col0,Control,0,171.0492798,171.52,0.073668552,0.369951133,0.375549927,0.80197713,18.38820896
LN11,Cvi,Control,0,94.0018807,73.8688,0.105050427,0.379346611,0.295168067,0.541080206,13.86241553
LN16,Col0,Control,0,212.5982781,222.2336,0.061787426,0.383843297,0.168061535,0.616349329,22.91395001
LN9,Co,Salt,0,137.3544115,149.6832,0.099700583,0.399085387,0.222699716,0.627037775,15.80571233
LN11,Cvi,Salt,0,96.68110739,61.632,0.082857704,0.355928445,0.277254374,0.559144185,22.35680166
LN14,Rsch,Salt,0,111.9995257,127.8848,0.128113951,0.546762984,0.276946296,0.780905555,14.37773997
LN13,Nd,Salt,0,114.4014765,95.8464,0.092028514,0.365464396,0.219601508,0.362810831,13.88461538
LN15,Te,Salt,0,134.8398948,127.616,0.088201949,0.410473877,0.346746246,0.748245738,16.63871615
LN12,Ler,Salt,0,96.66502655,144.2816,0.194035889,0.583950681,0.456662848,0.81941606,5.685060326
LN17,C24,Salt,0,167.0539898,163.4304,0.073591728,0.396768179,0.269867081,0.667474469,21.67669173
LN10,Col0,Salt,0,96.91404238,82.6752,0.110614408,0.405588697,0.389937107,0.784027381,10.82799195
LN8,Can,Salt,0,58.42583492,24.0896,0.088680799,0.35302945,0.463648834,0.821400325,20.53241233
LN16,Col0,Salt,0,162.2634098,158.4896,0.075643121,0.340623367,0.262756228,0.757427663,18.78226458
LN16,Col0,Control,1,206.2210197,257.8688,0.076197865,0.380070181,0.280238501,0.58072459,21.55822496
LN14,Rsch,Control,1,195.7320039,229.7984,0.075376016,0.350104331,0.210484721,0.714974688,17.91355205
LN12,Ler,Control,1,133.0618632,201.216,0.142812156,0.536830243,0.241197586,0.719143932,8.666793893
LN10,Col0,Control,1,212.8406331,332.1344,0.092132878,0.375889093,0.323189741,0.707199146,21.73277324
LN8,Can,Control,1,134.9497015,145.7152,0.100547404,0.44520923,0.181896182,0.441101619,13.67550949
LN17,C24,Control,1,193.4437614,243.7376,0.081850802,0.456117658,0.226533032,0.674850009,19.15019431
LN15,Te,Control,1,235.212373,312.192,0.070910624,0.398620599,0.230697081,0.613395803,21.07822878
LN13,Nd,Control,1,117.7340248,104.9088,0.095108165,0.40091963,0.377166628,0.844515226,13.36163982
LN11,Cvi,Control,1,69.52268908,56.8448,0.147790828,0.4138863,0.301220295,0.630080552,10.95969376
LN9,Co,Control,1,250.4276455,293.0048,0.058711079,0.424260958,0.20475099,0.667195831,27.89087414
LN8,Can,Salt,1,124.5089282,105.1136,0.085205531,0.486118511,0.247822008,0.484903292,18.0185095
LN15,Te,Salt,1,205.9720039,220.7104,0.065375688,0.400776311,0.204859482,0.535735514,21.04923737
LN11,Cvi,Salt,1,85.74620405,74.432,0.127215417,0.386764217,0.204976303,0.483910458,9.707308684
LN13,Nd,Salt,1,161.8979265,165.0688,0.079139315,0.347957477,0.251532982,0.606073873,20.09925558
LN10,Col0,Salt,1,147.7951848,189.5424,0.109042467,0.400367707,0.426894768,0.875489603,13.40153971
LN14,Rsch,Salt,1,174.8986998,223.36,0.091757612,0.372823416,0.409062402,0.800014145,20.79954155
LN17,C24,Salt,1,265.0056772,319.7568,0.057216238,0.423952888,0.150541693,0.343382656,30.28101357
LN9,Co,Salt,1,201.8963097,213.4528,0.065804404,0.419121343,0.177059827,0.428527663,23.85656033
LN12,Ler,Salt,1,157.7190865,258.944,0.130811887,0.545856831,0.275474306,0.718767342,11.2945131
LN16,Col0,Salt,1,194.0837614,161.3824,0.053837841,0.381667373,0.365862441,0.834099849,27.31995558
LN15,Te,Control,1,249.4837263,303.3344,0.061241678,0.372715548,0.324015347,0.688613592,21.35277239
LN16,Col0,Control,1,147.8245873,183.36,0.105443816,0.545963869,0.624320515,0.924347702,22.33856894
LN13,Nd,Control,1,146.9449915,140.4928,0.081762536,0.336480687,0.23162725,0.616267235,18.31067784
LN11,Cvi,Control,1,98.5983482,83.0976,0.107413549,0.39970447,0.3290938,0.390899244,13.45686999
LN9,Co,Control,1,217.7770831,232.448,0.061590159,0.386531012,0.240420482,0.440299261,23.50704846
LN17,C24,Control,1,160.0555715,180.9408,0.088757442,0.447710141,0.221369707,0.558923675,16.25933786
LN14,Rsch,Control,1,150.9175398,149.4528,0.082458321,0.360392617,0.300580105,0.754620488,16.56748887
LN12,Ler,Control,1,124.4446048,181.2992,0.147113865,0.627725581,0.242184369,0.414866847,11.3888732
LN10,Col0,Control,1,130.508524,137.4336,0.101396982,0.452103246,0.337730092,0.849781817,13.37878365
LN8,Can,Control,1,115.7457999,128.5888,0.120615335,0.41322858,0.548414111,0.857265968,11.75572367
LN14,Rsch,Salt,1,134.7167665,144.2304,0.099867314,0.371918012,0.240663592,0.689367637,17.057153
LN11,Cvi,Salt,1,106.9865732,78.7456,0.08645251,0.288989102,0.611938477,0.911453953,21.47236671
LN16,Col0,Salt,1,182.5571006,218.9952,0.082574699,0.412135957,0.309226793,0.634194697,19.26892279
LN9,Co,Salt,1,184.7971006,206.1696,0.075865476,0.392461197,0.212479293,0.505416182,19.17787297
LN17,C24,Salt,1,182.7861339,194.4192,0.073124435,0.39372181,0.22254352,0.625620056,20.02765159
LN12,Ler,Salt,1,132.748524,183.2832,0.130699258,0.509754361,0.175241659,0.600693082,14.30267477
LN15,Te,Salt,1,184.1665206,229.0304,0.084855819,0.411106516,0.428434469,0.796932664,16.74051305
LN13,Nd,Salt,1,136.0422498,118.9888,0.080791996,0.346568244,0.198071217,0.571508358,18.47009466
LN10,Col0,Salt,1,172.2488756,186.5856,0.079026946,0.36054018,0.255637407,0.793400894,15.95403718
LN8,Can,Salt,1,108.1434449,111.488,0.119794696,0.552770197,0.158797115,0.56764066,11.52146958
LN14,Rsch,Control,1,150.9336207,179.2384,0.098871003,0.406072381,0.364575959,0.797024189,17.29686496
LN17,C24,Control,1,153.7559581,167.6032,0.089089857,0.448071724,0.228102329,0.676808464,16.53291584
LN9,Co,Control,1,161.1065381,150.8608,0.073039861,0.427710843,0.344965529,0.588840923,19.61649415
LN8,Can,Control,1,178.6904573,194.624,0.07659555,0.497220405,0.227385831,0.542985556,18.00723446
LN10,Col0,Control,1,204.6986647,270.4128,0.08109743,0.384416624,0.225168333,0.628805096,17.34204298
LN15,Te,Control,1,235.1186472,312.3584,0.071004996,0.341989461,0.285938596,0.569053984,19.1196984
LN16,Col0,Control,1,235.5617755,309.9264,0.070187342,0.348178079,0.198347947,0.593386698,20.15743609
LN12,Ler,Control,1,111.4438315,166.784,0.168753263,0.551767944,0.154706685,0.482719257,7.564696853
LN11,Cvi,Control,1,110.0956065,90.368,0.093688127,0.409584034,0.229855372,0.493609542,14.85580737
LN13,Nd,Control,1,163.8700706,149.44,0.06993224,0.319661583,0.220368905,0.654259202,23.96162741
LN10,Col0,Salt,1,176.4277156,201.2032,0.081229004,0.390456555,0.230243794,0.693916879,18.66390992
LN14,Rsch,Salt,1,212.3814239,248.128,0.069127776,0.357267919,0.237844322,0.763515149,22.30848594
LN13,Nd,Salt,1,220.250018,245.0176,0.063470985,0.316166755,0.151810943,0.387248237,23.17845575
LN11,Cvi,Salt,1,81.64110739,84.6976,0.159684659,0.509235032,0.32427115,0.765457157,8.328849932
LN8,Can,Salt,1,101.0646224,111.2192,0.136833147,0.443338946,0.264137771,0.450919571,8.662907124
LN16,Col0,Salt,1,207.6951322,232.896,0.06784522,0.309928969,0.146510072,0.537528901,22.75625172
LN17,C24,Salt,1,184.9030056,241.1136,0.088622425,0.426292206,0.246799209,0.559838148,23.6538727
LN15,Te,Salt,1,209.0755189,231.2832,0.066488661,0.325180866,0.283513097,0.712384423,20.75255963
LN12,Ler,Salt,1,123.0253957,178.1376,0.147902638,0.63305131,0.213676928,0.662033343,11.02665804
LN9,Co,Salt,1,118.8265732,111.2576,0.099017602,0.399705693,0.233853467,0.732881566,13.81155085
LN17,C24,Control,1,217.2951322,297.6896,0.079227058,0.465736142,0.265074052,0.39721633,21.58498517
LN13,Nd,Control,1,169.0837965,153.0624,0.067278206,0.350643638,0.44536903,0.846419155,23.64542566
LN11,Cvi,Control,1,115.1218807,88.896,0.084290054,0.393283878,0.347390617,0.748685785,15.10179986
LN9,Co,Control,1,212.9704222,234.3296,0.064922978,0.429167546,0.256171352,0.403323273,25.2756869
LN12,Ler,Control,1,127.5214765,197.1968,0.152385296,0.593131593,0.298510126,0.580250157,9.324159418
LN16,Col0,Control,1,180.8661339,182.1568,0.069974651,0.353310658,0.319560185,0.694665014,18.31508678
LN14,Rsch,Control,1,192.0794556,221.504,0.075444851,0.368834989,0.327012558,0.815711077,17.39890205
LN8,Can,Control,1,133.3818632,149.4272,0.105547017,0.540262866,0.155571128,0.459293423,15.01045057
LN15,Te,Control,1,278.5499655,355.5712,0.057587765,0.370747528,0.31516453,0.631055629,21.1500774
LN10,Col0,Control,1,245.1617755,304.7552,0.063717022,0.371992375,0.341021988,0.804266225,24.8591709
LN16,Col0,Salt,1,195.6221972,205.5552,0.067499735,0.309255122,0.208064516,0.744596452,19.92652095
LN13,Nd,Salt,1,168.2014415,161.4336,0.071704163,0.357533664,0.22387583,0.711433171,18.98445925
LN12,Ler,Salt,1,97.53130072,119.5904,0.157985835,0.550397644,0.184073785,0.633630181,10.26672375
LN10,Col0,Salt,1,222.6064855,282.432,0.07162228,0.394602715,0.249353209,0.60250477,21.32109676
LN17,C24,Salt,1,224.7849214,291.3792,0.072465962,0.434510403,0.255573924,0.520937339,23.03145317
LN8,Can,Salt,1,82.7269949,92.4928,0.169833474,0.556060023,0.329512894,0.758160998,8.379739828
LN11,Cvi,Salt,1,86.25365572,66.8544,0.112923632,0.34123873,0.294584081,0.775549875,13.39038867
LN14,Rsch,Salt,1,156.3065381,163.5584,0.084125649,0.382689428,0.207660483,0.680649327,15.53059947
LN9,Co,Salt,1,157.7739898,150.6048,0.076028752,0.396028273,0.234325427,0.681821681,20.70389257
LN15,Te,Salt,1,203.4669073,217.28,0.065954138,0.315813953,0.375407275,0.762303854,26.1373785
LN8,Can,Control,1,85.13836573,104.3328,0.180875651,0.543074156,0.191380908,0.478328096,9.913139492
LN10,Col0,Control,1,329.0295613,558.336,0.06480905,0.464620858,0.265595807,0.454747542,26.20522696
LN17,C24,Control,1,230.1017931,273.5616,0.064926949,0.419577125,0.239527629,0.212845941,29.24209246
LN14,Rsch,Control,1,191.1449564,214.1184,0.073644135,0.405026513,0.479646767,0.863513516,19.70779531
LN16,Col0,Control,1,116.4085415,136.704,0.12677143,0.403780718,0.293896467,0.794203439,11.517603
LN12,Ler,Control,1,118.202654,208.6272,0.187640395,0.582939914,0.243637242,0.631365421,8.104668998
LN9,Co,Control,1,149.3402815,191.6672,0.107995021,0.511302329,0.283181676,0.567926208,17.11820489
LN11,Cvi,Control,1,94.17601072,75.328,0.106729806,0.447460462,0.295801862,0.493315589,14.14307562
LN13,Nd,Control,1,129.3516523,103.232,0.077531867,0.365014709,0.18594306,0.45567044,18.48208308
LN15,Te,Control,1,186.6033923,247.8208,0.089435214,0.437576278,0.327973415,0.852080751,17.02763287
LN9,Co,Salt,1,230.5515822,314.4576,0.074342258,0.551930983,0.322622916,0.629193107,23.04098995
LN10,Col0,Salt,1,176.1398773,185.1008,0.074972636,0.405251653,0.313821777,0.631542578,23.13546781
LN13,Nd,Salt,1,211.8351498,216.3968,0.060598887,0.322584338,0.231534767,0.555438935,23.53200047
LN11,Cvi,Salt,1,89.39209156,78.336,0.12318932,0.388522092,0.233455365,0.760402183,13.6
LN14,Rsch,Salt,1,182.6669073,229.7728,0.086534389,0.427303023,0.259366943,0.757860318,19.74720071
